Parameter description,Unit,Limit (NOTE 1),,Applicable Frequencies
General,dB,"max-25 -10.log10NRBLCRB,  20.log10EVM- 5.|∆RB-1LCRB, -55.1dBm-PRB",,Any non-allocated (NOTE 2)
IQ Image,dB,-25,Output power > 21 dBm,"Image frequencies (NOTES 2, 3)"
,,-20,Output power ≤ 21 dBm,
Carrier leakage,dBc,-25,Output power > 11 dBm,"Carrier frequency (NOTES 4, 5)"
,,-20,-13 dBm ≤ Output power ≤ 11 dBm,
"NOTE 1:An in-band emissions combined limit is evaluated in each non-allocated RB. For each such RB, the minimum requirement is calculated as the higher of (- 25 dB) and the power sum of all limit values (General, IQ Image or Carrier leakage) that apply. is defined in NOTE 10.NOTE 2:The measurement bandwidth is 1 RB and the limit is expressed as a ratio of measured power in one non-allocated RB to the measured average power per allocated RB, where the averaging is done across all allocated RBs. For Pi/2 BPSK with Spectrum Shaping, the limit is expressed as a ratio of measured power in one non-allocated RB to the measured power in the allocated RB with highest PSDNOTE 3:The applicable frequencies for this limit are those that are enclosed in the reflection of the allocated bandwidth, based on symmetry with respect to the carrier frequency, but excluding any allocated RBs.NOTE 4:The measurement bandwidth is 1 RB and the limit is expressed as a ratio of measured power in one non-allocated RB to the measured total power in all allocated RBs.NOTE 5:The applicable frequencies for this limit depend on the parameter txDirectCurrentLocation in UplinkTxDirectCurrent IE, and are those that are enclosed in the RBs containing the DC frequency but excluding any allocated RB.NOTE 6:LCRB is the Transmission Bandwidth (see Figure 5.3.1-1).NOTE 7:NRB is the Transmission Bandwidth Configuration (see Clause 5.3).NOTE 8:EVM s the limit for the modulation format used in the allocated RBs.NOTE 9:RB is the starting frequency offset between the allocated RB and the measured non-allocated RB (e.g. RB = 1 or RB = -1 for the first adjacent RB outside of the allocated bandwidth).NOTE 10:is an average of the transmitted power over 10 sub-frames normalized by the number of allocated RBs, measured in dBm.NOTE 11:All powers are EIRP in beam peak direction.",,,,
